pop,county,state
55869.0,Autauga,Alabama
223234.0,Baldwin,Alabama
24686.0,Barbour,Alabama
22394.0,Bibb,Alabama
57826.0,Blount,Alabama
10101.0,Bullock,Alabama
19448.0,Butler,Alabama
113605.0,Calhoun,Alabama
33254.0,Chambers,Alabama
26196.0,Cherokee,Alabama
44428.0,Chilton,Alabama
12589.0,Choctaw,Alabama
23622.0,Clarke,Alabama
13235.0,Clay,Alabama
14910.0,Cleburne,Alabama
52342.0,Coffee,Alabama
55241.0,Colbert,Alabama
12067.0,Conecuh,Alabama
10663.0,Coosa,Alabama
37049.0,Covington,Alabama
13772.0,Crenshaw,Alabama
83768.0,Cullman,Alabama
49172.0,Dale,Alabama
37196.0,Dallas,Alabama
71513.0,DeKalb,Alabama
81209.0,Elmore,Alabama
36633.0,Escambia,Alabama
102268.0,Etowah,Alabama
16302.0,Fayette,Alabama
31362.0,Franklin,Alabama
26271.0,Geneva,Alabama
8111.0,Greene,Alabama
14651.0,Hale,Alabama
17205.0,Henry,Alabama
105882.0,Houston,Alabama
51626.0,Jackson,Alabama
658573.0,Jefferson,Alabama
13805.0,Lamar,Alabama
92729.0,Lauderdale,Alabama
32924.0,Lawrence,Alabama
164542.0,Lee,Alabama
98915.0,Limestone,Alabama
9726.0,Lowndes,Alabama
18068.0,Macon,Alabama
372909.0,Madison,Alabama
18863.0,Marengo,Alabama
29709.0,Marion,Alabama
96774.0,Marshall,Alabama
413210.0,Mobile,Alabama
20733.0,Monroe,Alabama
226486.0,Montgomery,Alabama
119679.0,Morgan,Alabama
8923.0,Perry,Alabama
19930.0,Pickens,Alabama
33114.0,Pike,Alabama
22722.0,Randolph,Alabama
57961.0,Russell,Alabama
89512.0,St Clair,Alabama
217702.0,Shelby,Alabama
12427.0,Sumter,Alabama
79978.0,Talladega,Alabama
40367.0,Tallapoosa,Alabama
209355.0,Tuscaloosa,Alabama
63521.0,Walker,Alabama
16326.0,Washington,Alabama
10373.0,Wilcox,Alabama
23629.0,Winston,Alabama
71887.0,Apache,Arizona
125922.0,Cochise,Arizona
143476.0,Coconino,Arizona
54018.0,Gila,Arizona
38837.0,Graham,Arizona
9498.0,Greenlee,Arizona
21108.0,La Paz,Arizona
4485414.0,Maricopa,Arizona
212181.0,Mohave,Arizona
110924.0,Navajo,Arizona
1047279.0,Pima,Arizona
462789.0,Pinal,Arizona
46498.0,Santa Cruz,Arizona
235099.0,Yavapai,Arizona
213787.0,Yuma,Arizona
17486.0,Arkansas,Arkansas
19657.0,Ashley,Arkansas
41932.0,Baxter,Arkansas
279141.0,Benton,Arkansas
37432.0,Boone,Arkansas
10763.0,Bradley,Arkansas
5189.0,Calhoun,Arkansas
28380.0,Carroll,Arkansas
10118.0,Chicot,Arkansas
22320.0,Clark,Arkansas
14551.0,Clay,Arkansas
24919.0,Cleburne,Arkansas
7956.0,Cleveland,Arkansas
23457.0,Columbia,Arkansas
20846.0,Conway,Arkansas
110332.0,Craighead,Arkansas
63257.0,Crawford,Arkansas
47955.0,Crittenden,Arkansas
16419.0,Cross,Arkansas
7009.0,Dallas,Arkansas
11361.0,Desha,Arkansas
18219.0,Drew,Arkansas
126007.0,Faulkner,Arkansas
17715.0,Franklin,Arkansas
12477.0,Fulton,Arkansas
99386.0,Garland,Arkansas
18265.0,Grant,Arkansas
45325.0,Greene,Arkansas
21532.0,Hempstead,Arkansas
33771.0,Hot Spring,Arkansas
13202.0,Howard,Arkansas
37825.0,Independence,Arkansas
13629.0,Izard,Arkansas
16719.0,Jackson,Arkansas
66824.0,Jefferson,Arkansas
26578.0,Johnson,Arkansas
